trial,validation_loss,d_model,num_heads,num_layers,dim_feedforward,dropout,learning_rate,sequence_length,batch_size
0,0.3467855230893618,64,2,3,128,0.26517798764178463,0.001131262982285939,12,64
1,0.35922089492127024,128,8,1,256,0.2582791445740304,0.0010799336698579403,48,32
2,0.3546434440362601,64,8,1,128,0.18529825538190092,0.00013339755595729368,12,32
3,0.3445159073283033,128,4,2,64,0.17773602399774224,0.00022937734216072993,24,128
4,0.36252349799062,32,4,2,128,0.08620689595597016,0.00014594739714038406,12,64
5,0.34644109991992394,64,4,3,128,0.132583019505736,0.0001877479183679623,48,128
6,0.3958858316991387,128,8,3,64,0.024524082585646746,0.004941415399371645,48,128
7,0.35920361346668667,32,4,1,128,0.22441073188812025,0.0025721564827686917,24,64
8,0.378340529622855,128,8,3,64,0.016223362333255196,0.0020443387986840756,12,64
9,0.35133996896627473,64,4,1,128,0.1304993860952419,0.000655318177857632,48,128
10,0.3656061137231385,64,8,1,128,0.08049742611316126,0.00011751684126581469,12,128
11,0.3446862181151135,64,2,3,256,0.03144918511394057,0.0010795248898945982,48,32
12,0.4027621340420511,128,4,1,64,0.1827312447264958,0.0017390632714031722,24,32
13,0.33587720699426604,64,8,1,256,0.026655554419751235,0.0006218296138458018,48,128
14,0.34588642672794623,64,4,1,256,0.005129006984323348,0.003457887669005346,24,128
